ticker,price_date,close_price,daily_return_pct,ma_7d,ma_30d,ma_90d,volatility_30d_annualized
AAPL,2024-03-14,171.43975830078125,1.0927,171.4398,171.4398,171.4398,
AAPL,2024-03-15,171.0631866455078,-0.2197,171.2515,171.2515,171.2515,14.7317
AAPL,2024-03-18,172.1532440185547,0.6372,171.5521,171.5521,171.5521,10.578
AAPL,2024-03-19,174.49195861816406,1.3585,172.287,172.287,172.287,10.9846
AAPL,2024-03-19,174.49195861816406,0.0,172.728,172.728,172.728,10.7898
AAPL,2024-03-20,177.05862426757812,1.4709,173.4498,173.4498,173.4498,11.2668
AAPL,2024-03-20,177.05862426757812,0.0,173.9653,173.9653,173.9653,11.1632
AAPL,2024-03-21,169.824462890625,-4.0857,173.7346,173.4477,173.4477,28.3605
AAPL,2024-03-21,169.82443237304688,-0.0,173.5576,173.0451,173.0451,26.5294
AAPL,2024-03-22,170.7262420654297,0.531,173.3538,172.8132,172.8132,25.1392
AAPL,2024-03-22,170.7262420654297,0.0,172.8158,172.6235,172.6235,23.8521
AAPL,2024-03-25,169.3091583251953,-0.83,172.0754,172.3473,172.3473,23.1141
AAPL,2024-03-25,169.30914306640625,-0.0,170.9683,172.1136,172.1136,22.1301
AAPL,2024-03-26,168.17942810058594,-0.6672,169.6999,171.8326,171.8326,21.4476
AAPL,2024-03-26,168.179443359375,0.0,169.4649,171.5891,171.5891,20.6685
AAPL,2024-03-27,171.7469482421875,2.1212,169.7395,171.5989,171.5989,21.7435
AAPL,2024-03-27,171.74696350097656,0.0,169.8853,171.6076,171.6076,21.0558
AAPL,2024-03-28,169.93344116210938,-1.0559,169.7721,171.5146,171.5146,20.8668
AAPL,2024-03-28,169.93344116210938,0.0,169.8613,171.4314,171.4314,20.279
AAPL,2024-04-01,168.49652099609375,-0.8456,169.7452,171.2847,171.2847,19.9751
AAPL,2024-04-01,168.4965362548828,0.0,169.7905,171.1519,171.1519,19.4695
AAPL,2024-04-02,167.31727600097656,-0.6999,169.6673,170.9776,170.9776,19.1377
AAPL,2024-04-02,167.3172607421875,-0.0,169.0345,170.8184,170.8184,18.6986
AAPL,2024-04-03,168.1199493408203,0.4797,168.5163,170.706,170.706,18.3685
AAPL,2024-04-03,168.1199493408203,0.0,168.2573,170.6026,170.6026,17.982
AAPL,2024-04-04,167.29745483398438,-0.4892,167.8807,170.4754,170.4754,17.677
AAPL,2024-04-04,167.29745483398438,0.0,167.7094,170.3577,170.3577,17.3343
AAPL,2024-04-05,168.0506134033203,0.4502,167.6457,170.2753,170.2753,17.0748
AAPL,2024-04-05,168.05059814453125,-0.0,167.7505,170.1986,170.1986,16.7674
AAPL,2024-04-08,166.93080139160156,-0.6663,167.6953,170.0897,170.0897,16.5799
AAPL,2024-04-08,166.93080139160156,0.0,167.5254,169.9394,169.9878,16.2258
AAPL,2024-04-09,168.13978576660156,0.7242,167.5282,169.842,169.9301,16.3868
AAPL,2024-04-09,168.13978576660156,0.0,167.6485,169.7082,169.8758,16.2574
AAPL,2024-04-10,166.26683044433594,-1.1139,167.5013,169.434,169.7697,15.9412
AAPL,2024-04-10,166.26683044433594,0.0,167.2465,169.1598,169.6696,15.9412
AAPL,2024-04-11,173.46133422851562,4.3271,168.0195,169.0399,169.7749,20.0848
AAPL,2024-04-11,173.4613494873047,0.0,168.9524,168.92,169.8745,20.0848
AAPL,2024-04-12,174.95774841308594,0.8627,170.0991,169.0911,170.0083,16.2153
AAPL,2024-04-12,174.95774841308594,0.0,171.0731,169.2622,170.1352,16.2153
AAPL,2024-04-15,171.13255310058594,-2.1864,171.5006,169.2758,170.1601,17.4588
AAPL,2024-04-15,171.13255310058594,0.0,172.1957,169.2893,170.1839,17.4588
AAPL,2024-04-16,167.85240173339844,-1.9167,172.4222,169.2408,170.1284,18.1842
